Date,TempMax,TempMin,Rain,AvgTempMax,AvgTempMin
2018-01-01,17,11,0,13,7
2018-01-02,19,8,0,13,7
2018-01-03,23,11,0,13,7
2018-01-04,24,15,0,13,7
2018-01-05,20,10,0,13,7
2018-01-06,16,8,0,13,7
2018-01-07,16,7,1,13,7
2018-01-08,14,6,0,13,7
2018-01-09,15,5,0,13,7
2018-01-10,15,7,0,13,6
2018-01-11,14,8,0,13,6
2018-01-12,13,5,0,13,6
2018-01-13,14,3,10,13,6
2018-01-14,12,7,1,13,6
2018-01-15,14,5,0,13,6
2018-01-16,19,8,0,13,6
2018-01-17,18,11,0,13,6
2018-01-18,15,7,1,13,6
2018-01-19,14,6,0,13,6
2018-01-20,16,6,0,13,6
2018-01-21,24,15,0,13,6
2018-01-22,22,12,0,13,6
2018-01-23,18,10,0,13,6
2018-01-24,17,8,0,13,6
2018-01-25,15,10,0,13,7
2018-01-26,14,7,35,13,7
2018-01-27,13,6,0,13,7
2018-01-28,16,8,0,13,7
2018-01-29,17,7,0,13,7
2018-01-30,15,6,0,13,7
2018-01-31,15,5,0,13,7
2018-02-01,12,6,4,13,7
2018-02-02,12,5,0,13,7
2018-02-03,13,4,0,14,7
2018-02-04,11,7,41,14,7
2018-02-05,10,6,38,14,7
2018-02-06,11,7,6,14,7
2018-02-07,12,4,0,14,7
2018-02-08,9,3,1,14,7
2018-02-09,10,1,0,14,7
2018-02-10,14,3,0,14,7
2018-02-11,15,2,0,14,7
2018-02-12,12,3,13,14,7
2018-02-13,12,2,0,14,7
2018-02-14,12,4,0,14,7
2018-02-15,17,7,0,14,7
2018-02-16,16,10,0,14,7
2018-02-17,16,9,0,14,7
2018-02-18,15,7,0,14,7
2018-02-19,14,7,0,14,7
2018-02-20,15,9,0,14,8
2018-02-21,15,6,0,14,8
2018-02-22,11,2,0,14,8
2018-02-23,11,5,0,14,8
2018-02-24,13,2,0,14,8
2018-02-25,15,5,0,14,8
2018-02-26,12,4,0,15,8
2018-02-27,5,2,1,15,8
2018-02-28,7,1,11,15,8
2018-03-01,15,6,1,15,8
2018-03-02,15,10,2,15,8
2018-03-03,20,9,1,15,8
2018-03-04,16,9,0,15,8
2018-03-05,17,8,2,15,8
2018-03-06,17,9,0,15,8
2018-03-07,18,6,0,15,8
2018-03-08,15,7,0,15,8
2018-03-09,16,7,0,15,9
2018-03-10,18,12,1,15,9
2018-03-11,18,11,0,15,9
2018-03-12,21,11,0,15,9
2018-03-13,17,8,0,15,9
2018-03-14,16,8,0,15,9
2018-03-15,20,12,0,16,9
2018-03-16,18,9,0,16,9
2018-03-17,15,7,2,16,9
2018-03-18,15,5,0,16,9
2018-03-19,16,6,1,16,9
2018-03-20,14,3,28,16,9
2018-03-21,15,4,0,16,9
2018-03-22,18,4,0,16,9
2018-03-23,17,7,0,16,9
2018-03-24,10,7,30,16,10
2018-03-25,14,8,0,16,10
2018-03-26,18,7,0,17,10
2018-03-27,16,8,0,17,10
2018-03-28,20,11,0,17,10
2018-03-29,17,12,0,17,10
2018-03-30,19,10,0,17,10
2018-03-31,19,10,0,17,10
